customer_id,customer_name,contract_id,product_sku,licenses_purchased,licenses_used,contract_end_date,annual_value
1001,Global Tech Solutions,CTR-9821,CTRLM-CORE-01,1000,950,2026-12-31,150000
1002,CyberDyne Systems,CTR-4412,CTRLM-AGENT-X,500,50,2026-04-15,75000
1003,Initech Corp,CTR-3301,CTRLM-CORE-01,250,240,2026-11-20,45000
1004,Umbrella Corp,CTR-7722,CTRLM-CLOUD-02,2000,400,2026-03-01,320000
1005,Hooli Inc,CTR-1109,CTRLM-CORE-01,1500,1480,2027-06-30,210000
1006,Soylent Corp,CTR-5541,CTRLM-AGENT-X,100,20,2026-05-12,25000
1007,Massive Dynamic,CTR-8833,CTRLM-CORE-01,3000,2900,2026-12-15,450000
1008,Wayne Enterprises,CTR-2210,CTRLM-AGENT-X,800,780,2027-01-10,120000
1009,Stark Industries,CTR-6650,CTRLM-CLOUD-02,5000,4950,2027-09-25,750000
1010,Aperture Science,CTR-1144,CTRLM-CORE-01,600,120,2026-04-30,90000
1011,Tyrell Corp,CTR-9988,CTRLM-AGENT-X,1200,300,2026-03-20,180000
1012,Gekko & Co,CTR-4455,CTRLM-CORE-01,400,395,2026-11-05,60000
1013,Oscorp Industries,CTR-3321,CTRLM-CLOUD-02,1000,150,2026-05-15,160000
1014,Acme Corp,CTR-7766,CTRLM-CORE-01,300,285,2026-10-10,48000
1015,Weyland-Yutani,CTR-8877,CTRLM-AGENT-X,2500,2450,2027-02-14,375000
1016,Pied Piper,CTR-1122,CTRLM-CORE-01,150,145,2026-12-20,22000
1017,LexCorp,CTR-5566,CTRLM-CLOUD-02,4000,800,2026-04-01,640000
1018,Virtucon,CTR-6677,CTRLM-CORE-01,500,480,2027-05-30,75000
1019,Wonka Industries,CTR-2233,CTRLM-AGENT-X,200,40,2026-06-15,30000
1020,Gringotts Bank,CTR-9900,CTRLM-CORE-01,2000,1950,2026-12-01,300000
